ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
97149,Sandra Prokoff-Kiriasis,F,27,182,80,Germany-1,GER,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Women's Two,Silver
97149,Sandra Prokoff-Kiriasis,F,31,182,80,Germany-1,GER,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Women's Two,Gold
97151,Andrey Vasilyevich Prokofyev,M,21,187,83,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
97152,Yekaterina Valeryevna Prokofyeva,F,25,176,70,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
97153,Yelena Gennadyevna Prokofyeva,F,22,171,54,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
97166,Aleksandr Timofeyevich Prokopenko,M,26,173,68,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Bronze
97169,Heorhiy Yakovych Prokopenko,M,27,180,71,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Breaststroke,Silver
97178,Naum Prokupets,M,20,178,82,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
97179,Aleksey Alekseyevich Prokurorov,M,23,177,72,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
97179,Aleksey Alekseyevich Prokurorov,M,23,177,72,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
97182,Grischa Prmel,M,21,182,78,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
97188,"Christopher Robert ""Chris"" Pronger",M,27,198,100,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
97188,"Christopher Robert ""Chris"" Pronger",M,35,198,100,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
97201,Tetiana Vasylivna Prorochenko (-Burakova),F,24,166,58,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
97201,Tetiana Vasylivna Prorochenko (-Burakova),F,28,166,58,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
97206,Uwe Gerhard Proske,M,30,193,89,Germany,GER,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Team",Gold
97212,Vclav Prospal,M,30,188,83,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
97228,Oleg Alekseyevich Protopopov,M,31,175,71,Soviet Union-1,URS,1964 Winter,1964,Winter,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,Gold
97228,Oleg Alekseyevich Protopopov,M,35,175,71,Soviet Union-1,URS,1968 Winter,1968,Winter,Grenoble,Figure Skating,Figure Skating Mixed Pairs,Gold
97242,Marie Prouvensier,F,22,165,52,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
97246,Yanina Dislavovna Provalinskaya-Karolchik,F,23,187,92,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Shot Put,Gold
97251,Frantiek Provaznk,M,24,186,77,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Fours,Bronze
97254,Tatyana Petrovna Providokhina (-Fedorenko),F,27,167,52,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 800 metres,Bronze
97255,Nicole Anne Louise Provis-Bradtke,F,22,176,61,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Doubles,Bronze
97259,Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),F,15,169,68,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 200 metres Breaststroke,Gold
97259,Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),F,19,169,68,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Breaststroke,Silver
97259,Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),F,19,169,68,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
97259,Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),F,23,169,68,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Breaststroke,Silver
97259,Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),F,23,169,68,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
97260,Goran Prpi,M,28,182,74,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Men's Doubles,Bronze
97262,Ji Prskavec,M,23,173,69,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
97270,Nlson Prudncio,M,24,182,71,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,Silver
97270,Nlson Prudncio,M,28,182,71,Brazil,BRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Triple Jump,Bronze
97276,Karl-Heinz Prudhl,M,31,185,89,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Gold
97277,Valentina Aleksandrovna Prudskova,F,21,159,51,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Team",Gold
97277,Valentina Aleksandrovna Prudskova,F,25,159,51,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Silver
97279,Thomas Prugger,M,26,186,78,Italy,ITA,1998 Winter,1998,Winter,Nagano,Snowboarding,Snowboarding Men's Giant Slalom,Silver
97308,Oleksiy Viktorovych Pryhorov,M,21,183,72,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,Bronze
97309,Stanislav Prl,M,21,175,80,Czechoslovakia,TCH,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
97317,"Nadiya Ivanivna Pryshchepa (Derhachenko-, -Bezpalova)",F,24,181,83,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Silver
97319,Anna Maria Prytz,F,37,170,69,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Silver
97327,Ryszard Stanisaw Przybysz,M,26,187,81,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze
97345,"Vclav Penika, Sr.",M,25,170,104,Czechoslovakia,TCH,1932 Summer,1932,Summer,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight,Silver
